smiles,type,temp,pCMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,fold,split,SMILES,pC20_normalised,pCMC_normalised,SMILES_canonical,SurfTen,MolLogP,true_composite
CCCCCCCCCCCCCCOCC(CCC[N+](C)(C)C)(CCC[N+](C)(C)C)COCCCCCCCCCCCCCC.[I-].[I-],gemini cationic,25.0,5.22184874961636,33.0,2.77e-06,0.6,39.0,5.69,2.0,train,CCCCCCCCCCCCCCOCC(CCC[N+](C)(C)C)(CCC[N+](C)(C)C)COCCCCCCCCCCCCCC,1.3504310315930452,1.843597144569785,CCCCCCCCCCCCCCOCC(CCC[N+](C)(C)C)(CCC[N+](C)(C)C)COCCCCCCCCCCCCCC,433.31912,12.380999999999986,0.7804152722550315
CCCCCCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,5.18045606445813,37.0,1.6e-06,3.5,35.0,5.72,1.0,train,CCCCCCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCCCCCC,1.3751840748979154,1.8066349031730613,CCCCCCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCCCCCC,434.8428,12.118399999999989,0.7733911513671902
CCCCCCCCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,non-ionic,24.85,4.67778070526608,,,,,,,test,CCCCCCCCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,,1.3577631303074862,CCCCCCCCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,424.7,4.339000000000004,0.7728353260184456
CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],gemini cationic,25.0,4.46306297729533,44.6,1.8e-06,0.92,27.4,4.69,,test,CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCC)cc2)cc1,0.5253295880973523,1.166027598701538,CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCC)cc2)cc1,418.71536,11.015999999999991,0.7707437571737523
CCCCCCCCCCCCCCCCn1cc[n+](COCCCCOC[n+]2ccn(CCCCCCCCCCCCCCCC)c2)c1.[Cl-].[Cl-],gemini cationic,25.0,3.58000000000006,31.5,2.11e-06,0.86,40.5,4.14726660100241,2.0,train,CCCCCCCCCCCCCCCCn1cc[n+](COCCCCOC[n+]2ccn(CCCCCCCCCCCCCCCC)c2)c1,0.0775194771511164,0.3774827915568521,CCCCCCCCCCCCCCCCn1cc[n+](COCCCCOC[n+]2ccn(CCCCCCCCCCCCCCCC)c2)c1,360.10202,12.255799999999986,0.7706016852550818
CCCCCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,3.57691804170277,,,,,,4.0,train,CCCCCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1,,0.3747307090059472,CCCCCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1,293.73807,6.395300000000007,0.770061244526293
CCCCCCCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O.[Br-].[Br-],gemini cationic,25.0,3.57675412606319,30.0,1.73e-06,0.96,42.0,4.31,4.0,train,CCCCCCCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O,0.2117910395689884,0.3745843379885633,CCCCCCCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O,368.70172,11.105799999999988,0.7700324902670055
CCCCCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Br-],cationic,25.0,3.56863623584101,40.7,2.08e-06,0.8,31.08,4.0,9.0,train,CCCCCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1,-0.043990407914676,0.367335341773959,CCCCCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1,373.90546,5.1714000000000055,0.7686070953079206
CCCCCCCCCCCCNCC(=O)NCOCC(O)C(O)C(O)COCCCCCCCCCCCCNCC(=O)NCOCC(O)C(O)C(O)COCC,non-ionic,25.0,5.2839966563652,,,,,,5.0,train,CCCCCCCCCCCCNCC(=O)NCOCC(O)C(O)C(O)COCCCCCCCCCCCCNCC(=O)NCOCC(O)C(O)C(O)COCC,,1.8990930835930824,CCCCCCCCCCCCNCC(=O)NCOCC(O)C(O)C(O)COCCCCCCCCCCCCNCC(=O)NCOCC(O)C(O)C(O)COCC,436.4822,2.3866000000000067,0.7657616118410903
CCCCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],gemini cationic,25.0,4.0,37.7,2.17e-06,1.31,34.3,4.04,3.0,train,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1,-0.0109863501748483,0.752528317771888,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1,402.64505,11.052399999999992,0.7656261335330455
CCCCCCCCCCCCCCCCn1cc[n+](COCCCOC[n+]2ccn(CCCCCCCCCCCCCCCC)c2)c1.[Cl-].[Cl-],gemini cationic,25.0,3.55000000000007,32.8,2.14e-06,0.84,39.2,4.07384555595647,2.0,train,CCCCCCCCCCCCCCCCn1cc[n+](COCCCOC[n+]2ccn(CCCCCCCCCCCCCCCC)c2)c1,0.016939666900749,0.3506938253986403,CCCCCCCCCCCCCCCCn1cc[n+](COCCCOC[n+]2ccn(CCCCCCCCCCCCCCCC)c2)c1,351.03027,11.865699999999988,0.7653247741416779
COCCOCCOCCOCCOCCOCCOCCOCCCSCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,non-ionic,25.0,4.28066871301627,22.9,5.47e-06,0.37,49.6,5.52,2.0,train,COCCOCCOCCOCCOCCOCCOCCOCCCSCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,1.2101637861987766,1.0031558062606951,COCCOCCOCCOCCOCCOCCOCCOCCCSCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,414.08597,5.037400000000005,0.7647536400666289
CCCCCCCCCCCCCC[N+](C)(C)CC(=O)NCCNC(=O)C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],gemini cationic,29.85,3.79615153625377,46.1,8.03e-07,3.1,25.08,4.22,3.0,train,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)NCCNC(=O)C[N+](C)(C)CCCCCCCCCCCCCC,0.1375319096543761,0.5704986645484535,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)NCCNC(=O)C[N+](C)(C)CCCCCCCCCCCCCC,393.96915,8.773800000000003,0.7622819180117081
CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],gemini cationic,25.0,4.54060751224077,45.0,1.72e-06,0.97,27.0,4.87,0.0,train,CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCCCC)cc2)cc1,0.6738478479265768,1.2352721961151505,CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCCCC)cc2)cc1,423.56973,15.697199999999969,0.7611335768381003
CCCCCCCCCCCCCC[n+]1ccc(C(=O)NCCCCCCNC(=O)c2cc[n+](CCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],gemini cationic,25.0,5.0783135245164,43.0,2.29e-06,0.87,29.0,5.28,,test,CCCCCCCCCCCCCC[n+]1ccc(C(=O)NCCCCCCNC(=O)c2cc[n+](CCCCCCCCCCCCCC)cc2)cc1,1.012139439759811,1.715425134979271,CCCCCCCCCCCCCC[n+]1ccc(C(=O)NCCCCCCNC(=O)c2cc[n+](CCCCCCCCCCCCCC)cc2)cc1,437.38904,11.383999999999991,0.7609823520098826
CCCCCCCCCCCCCCC(CSCCSCC(CCCCCCCCCCCCCC)[n+]1ccn(C)c1)[n+]1ccn(C)c1.[Br-].[Br-],gemini cationic,25.0,4.65797231191253,,,,,,5.0,train,CCCCCCCCCCCCCCC(CSCCSCC(CCCCCCCCCCCCCC)[n+]1ccn(C)c1)[n+]1ccn(C)c1,,1.340074917667587,CCCCCCCCCCCCCCC(CSCCSCC(CCCCCCCCCCCCCC)[n+]1ccn(C)c1)[n+]1ccn(C)c1,427.0914,12.369799999999984,0.7606076666141645
CCCCCCCCCCCCCCCC(=O)NC1CCOC1=O,sugar-based non-ionic,25.0,6.79588001734408,,,,,,6.0,train,CCCCCCCCCCCCCCCC(=O)NC1CCOC1=O,,3.249152823341088,CCCCCCCCCCCCCCCC(=O)NC1CCOC1=O,437.65475,4.899400000000004,0.760257763655337
CCCCCCCCCCCCCCCC(O)OCCOCCOCCOCCOCCOCC,non-ionic,25.0,5.77989191195995,32.0,4.4e-06,0.38,40.0,6.58,6.0,train,CCCCCCCCCCCCCCCC(O)OCCOCCOCCOCCOCCOCC,2.084771316304212,2.3419104575980816,CCCCCCCCCCCCCCCC(O)OCCOCCOCCOCCOCCOCC,437.66998,5.905600000000006,0.7601860132001083
CCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,3.86970000000032,,,,,,3.0,train,CCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCC,,0.6361749080916353,CCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCC,398.35553,11.321599999999991,0.7600390663444809
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)[O-])cc1.[Na+],anionic,25.0,4.92081875395238,36.9,9.7e-07,1.708,35.07,6.28,6.0,train,CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)[O-])cc1,1.837240883255504,1.5747877323547297,CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)[O-])cc1,434.02274,9.013800000000003,0.759916689977101
CCCCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],gemini cationic,25.0,3.88605664769316,,,,,,4.0,train,CCCCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCCCC)CCCC2)CCCC1,,0.6507808308084828,CCCCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCCCC)CCCC2)CCCC1,399.38202,11.613199999999988,0.7592649357958194
CCCCCCCCCCCC[N+](C)(C)CC(O)COC(=O)CCCCC(=O)OCC(O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],gemini cationic,,3.507683515548706,31.4,,,,,7.0,train,CCCCCCCCCCCC[N+](C)(C)CC(O)COC(=O)CCCCC(=O)OCC(O)C[N+](C)(C)CCCCCCCCCCCC,,,CCCCCCCCCCCC[N+](C)(C)CC(O)COC(=O)CCCCC(=O)OCC(O)C[N+](C)(C)CCCCCCCCCCCC,378.72025,8.349600000000008,0.7578189629169056
CCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)c1ccc(C(=O)NCCC[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Br-].[Br-],gemini cationic,25.0,3.6615435063954,40.9,1.24e-06,1.34,31.1,4.13,3.0,val,CCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)c1ccc(C(=O)NCCC[N+](C)(C)CCCCCCCCCCCCCC)cc1,0.0632727797397639,0.450298332665099,CCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)c1ccc(C(=O)NCCC[N+](C)(C)CCCCCCCCCCCCCC)cc1,389.0658,11.48139999999999,0.7551854501747123
C[SiH](O[SiH](C)O[SiH](C)O[Si](C)(CCCOCC1CO1)O[Si](C)(C)C)O[SiH](C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,non-ionic,25.0,3.48545224733971,29.0,3.7e-07,4.48,43.0,3.48,4.0,train,C[SiH](O[SiH](C)O[SiH](C)O[Si](C)(CCCOCC1CO1)O[Si](C)(C)C)O[SiH](C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,-0.4730431585324363,0.2930549066783875,C[SiH](O[SiH](C)O[SiH](C)O[Si](C)(CCCOCC1CO1)O[Si](C)(C)C)O[SiH](C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,363.4759,8.781700000000003,0.7538457878805744
CCCCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCCCC)CC1.[Br-].[Br-],gemini cationic,25.0,3.79588001734408,35.0,4.9e-07,3.4,37.0,6.55,4.0,train,CCCCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCCCC)CC1,2.0600182729993404,0.5702562075190201,CCCCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCCCC)CC1,397.06363,10.295399999999995,0.7526971236196642
CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,3.80130000000005,,,,,,3.0,train,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC,,0.575096065250651,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC,397.45786,12.101799999999988,0.7523159793981714
CCCCCCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCCCC.[Cl-].[Cl-],gemini cationic,25.0,3.72124639904717,47.2,6.3e-07,2.62,24.8,4.17,3.0,train,CCCCCCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCCCC,0.0962768374795916,0.503610958358304,CCCCCCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCCCC,393.47958,10.334199999999996,0.7518382904420112
CCCCCCCCCCCCOCC(COCCCCCCCCCCCC)(C[N+](C)(C)C)C[N+](C)(C)C.[I-].[I-],gemini cationic,25.0,5.66354026615147,40.8,4.15e-06,0.4,31.2,5.74,5.0,train,CCCCCCCCCCCCOCC(COCCCCCCCCCCCC)(C[N+](C)(C)C)C[N+](C)(C)C,1.3916861037678296,2.23801244753086,CCCCCCCCCCCCOCC(COCCCCCCCCCCCC)(C[N+](C)(C)C)C[N+](C)(C)C,439.61108,9.260200000000005,0.7509851329200236
CCCCCCCCCCCCCCCCn1cc[n+](COCCCCCOC[n+]2ccn(CCCCCCCCCCCCCCCC)c2)c1.[Cl-].[Cl-],gemini cationic,25.0,3.61000000000001,29.6,2.08e-06,0.88,42.4,4.23878256636433,1.0,train,CCCCCCCCCCCCCCCCn1cc[n+](COCCCCCOC[n+]2ccn(CCCCCCCCCCCCCCCC)c2)c1,0.1530294322741388,0.4042717577150281,CCCCCCCCCCCCCCCCn1cc[n+](COCCCCCOC[n+]2ccn(CCCCCCCCCCCCCCCC)c2)c1,388.47937,12.645899999999983,0.7482902364284946
CCCCCCCCCCCCN(CCCNC(=O)C(O)C(O)C(O)C(O)C(O)CO)CCN(CCCCCCCCCCCC)CCCNC(=O)C(O)C(O)C(O)C(O)C(O)CO,non-ionic,25.0,5.2839966563652,33.0,2.51e-06,0.66,39.0,6.6,5.0,train,CCCCCCCCCCCCN(CCCNC(=O)C(O)C(O)C(O)C(O)C(O)CO)CCN(CCCCCCCCCCCC)CCCNC(=O)C(O)C(O)C(O)C(O)C(O)CO,2.101273345174125,1.8990930835930824,CCCCCCCCCCCCN(CCCNC(=O)C(O)C(O)C(O)C(O)C(O)CO)CCN(CCCCCCCCCCCC)CCCNC(=O)C(O)C(O)C(O)C(O)C(O)CO,440.6009,0.0384000000000093,0.7462496810071266
CCCCCCCCCCCCCCC(CCCCCCCCCCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,4.10001543745061,,,,,,5.0,train,CCCCCCCCCCCCCCC(CCCCCCCCCCCCCC)OS(=O)(=O)[O-],,0.8418386567440221,CCCCCCCCCCCCCCC(CCCCCCCCCCCCCC)OS(=O)(=O)[O-],412.50647,10.014199999999995,0.746127987779064
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,non-ionic,25.0,4.56863623584101,35.1,2.87e-06,0.58,36.9,5.60007125199514,4.0,train,CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,1.2762306918024746,1.2603008803813154,CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,428.08133,4.422500000000005,0.7460851236046432
CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,4.15490195998574,,,,,,8.0,val,CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],,0.8908504299018898,CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],414.86313,5.757900000000006,0.7451863398845592
CCCCCCCCCCCCNC(=O)CC[N+](C)(C)CCC(=O)NCCCCCCCCCCCC.[Br-],cationic,25.0,4.09691001300806,27.0,3.77e-06,0.44,45.0,4.67768208785196,5.0,train,CCCCCCCCCCCCNC(=O)CC[N+](C)(C)CCC(=O)NCCCCCCCCCCCC,0.5151660610031513,0.8390656197340759,CCCCCCCCCCCCNC(=O)CC[N+](C)(C)CCC(=O)NCCCCCCCCCCCC,412.7484,7.917200000000008,0.7448488735521664
CCCCCCCCCCCCC(CSCCSCC(CCCCCCCCCCCC)[n+]1ccn(C)c1)[n+]1ccn(C)c1.[Br-].[Br-],gemini cationic,25.0,4.0,,,,,,3.0,train,CCCCCCCCCCCCC(CSCCSCC(CCCCCCCCCCCC)[n+]1ccn(C)c1)[n+]1ccn(C)c1,,0.752528317771888,CCCCCCCCCCCCC(CSCCSCC(CCCCCCCCCCCC)[n+]1ccn(C)c1)[n+]1ccn(C)c1,409.00708,10.809399999999997,0.744278853174635
CCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC[n+]2ccn(CC(O)COCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],gemini cationic,25.0,4.14898639317633,44.5,2.99e-06,0.06,27.81,0.93,2.0,train,CCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC[n+]2ccn(CC(O)COCCCCCCCCCCCCCC)c2)c1,-2.5770518394464528,0.8855680325997564,CCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC[n+]2ccn(CC(O)COCCCCCCCCCCCCCC)c2)c1,414.89932,9.112100000000003,0.7442608736383008
CCCCCCCCCCCCCCOCC(O)C[N+](C)(C)CCCC[N+](C)(C)CC(O)COCCCCCCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,5.0,37.4,2.16e-06,0.77,34.6,5.59,2.0,train,CCCCCCCCCCCCCCOCC(O)C[N+](C)(C)CCCC[N+](C)(C)CC(O)COCCCCCCCCCCCCCC,1.2679208872434755,1.6454938563792438,CCCCCCCCCCCCCCOCC(O)C[N+](C)(C)CCCC[N+](C)(C)CC(O)COCCCCCCCCCCCCCC,439.49777,10.0766,0.743007790558219
C=CC(=O)OC(C[N+](C)(C)CCCCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,3.61978875828839,31.3,1.4e-06,1.19,40.7,4.48308155731207,0.0,train,C=CC(=O)OC(C[N+](C)(C)CCCCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCCCC,0.3546008823496599,0.4130127815323086,C=CC(=O)OC(C[N+](C)(C)CCCCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCCCC,390.9181,10.639199999999995,0.742857480102336
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,non-ionic,24.85,5.52287874528034,,,,,,8.0,train,CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,,2.1124065567848413,CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,441.36664,6.406200000000008,0.7425655449953749
